Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_rtld_global_ro;rtld.c;168;0.579599142074585;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.846097469329834;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.8092391490936279;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.6535739898681641;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;0.7622337341308594;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.7033772468566895;0-2;LSB bit-flip
relocate_time;rtld.c;215;0.21915173530578613;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.9670348167419434;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7595126628875732;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.21727585792541504;0-2;LSB bit-flip
audit_list;rtld.c;124;0.8652141094207764;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.38435816764831543;0-2;LSB bit-flip
start_time;rtld.c;217;0.20248126983642578;0-2;LSB bit-flip
start_time;rtld.c;217;0.5590996742248535;0-2;LSB bit-flip
preload_file;rtld.c;1551;0.24630427360534668;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.6386582851409912;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;58;0.46112966537475586;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.8102138042449951;0-2;LSB bit-flip
preloadlist;rtld.c;745;0.729020357131958;0-2;LSB bit-flip
audit_list;rtld.c;124;0.5244805812835693;0-2;LSB bit-flip
tls_init_tp_called;rtld.c;585;0.7424936294555664;0-2;LSB bit-flip
start_time;rtld.c;217;1.105137586593628;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.5694622993469238;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;1.1414406299591064;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.22812700271606445;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.39220190048217773;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;1.1292314529418945;0-2;LSB bit-flip
_rtld_global;rtld.c;140;1.0695364475250244;0-2;LSB bit-flip
_dl_argc;rtld.c;82;1.0505211353302002;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.5788753032684326;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.35980725288391113;0-2;LSB bit-flip
input;binary_search.c;37;0.31388068199157715;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.1261465549468994;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.1476256847381592;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;1.0438687801361084;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1143019199371338;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.8807735443115234;0-2;LSB bit-flip
preload_file;rtld.c;1551;0.7068614959716797;0-2;LSB bit-flip
relocate_time;rtld.c;215;0.7017016410827637;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.34768033027648926;0-2;LSB bit-flip
_dl_argc;rtld.c;82;1.0527839660644531;0-2;LSB bit-flip
_rtld_global;rtld.c;140;1.1054978370666504;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.3951854705810547;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.6541719436645508;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.9070730209350586;0-2;LSB bit-flip
library_path;rtld.c;743;0.7034018039703369;0-2;LSB bit-flip
file_size;rtld.c;794;0.8381664752960205;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.35700249671936035;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.5285522937774658;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.9161014556884766;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9961822032928467;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.4533729553222656;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;0.35779309272766113;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.5567822456359863;0-2;LSB bit-flip
_rtld_local;rtld.c;162;1.0740995407104492;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.8831057548522949;0-2;LSB bit-flip
preloadlist;rtld.c;745;0.9902360439300537;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.31125354766845703;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.25736188888549805;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.6494367122650146;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.1390252113342285;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.3199760913848877;0-2;LSB bit-flip
audit_list;rtld.c;124;0.7453293800354004;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.35610008239746094;0-2;LSB bit-flip
load_time;rtld.c;216;0.898231029510498;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.5431389808654785;0-2;LSB bit-flip
audit_list;rtld.c;124;0.5990819931030273;0-2;LSB bit-flip
audit_list;rtld.c;124;1.0339500904083252;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;0.8022642135620117;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.43450427055358887;0-2;LSB bit-flip
preloadlist;rtld.c;745;0.46834444999694824;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;1.1155176162719727;0-2;LSB bit-flip
version_info;rtld.c;747;0.47707176208496094;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.8214747905731201;0-2;LSB bit-flip
any_debug;rtld.c;2239;1.0583155155181885;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;1.018270492553711;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6096563339233398;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;58;0.8161237239837646;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.9661140441894531;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.17462444305419922;0-2;LSB bit-flip
tls_init_tp_called;rtld.c;585;0.3167252540588379;0-2;LSB bit-flip
preloadlist;rtld.c;745;0.36008238792419434;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.0045650005340576;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.21324992179870605;0-2;LSB bit-flip
any_debug;rtld.c;2239;1.117302417755127;0-2;LSB bit-flip
load_time;rtld.c;216;0.6895689964294434;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.6129462718963623;0-2;LSB bit-flip
audit_list;rtld.c;124;1.1294975280761719;0-2;LSB bit-flip
preloadlist;rtld.c;745;0.4472498893737793;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.9299707412719727;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;0.2905745506286621;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.7347047328948975;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;58;0.5477828979492188;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.7659366130828857;0-2;LSB bit-flip
library_path;rtld.c;743;1.123441457748413;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8232402801513672;0-2;LSB bit-flip
preloadlist;rtld.c;745;0.9806549549102783;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;1.021270513534546;0-2;LSB bit-flip
audit_list;rtld.c;124;1.091736078262329;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.955636739730835;0-2;LSB bit-flip
audit_list;rtld.c;124;0.685504674911499;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.8481905460357666;0-2;LSB bit-flip
