Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__GI__dl_argv;rtld.c;83;0.43511223793029785;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.9032161235809326;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7020268440246582;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.84149169921875;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.1656508445739746;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6464331150054932;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.052549123764038;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8748071193695068;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.22046208381652832;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7093579769134521;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.33836913108825684;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0765092372894287;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.0184299945831299;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7631244659423828;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6093242168426514;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.944084644317627;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.247344970703125;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;1.078192949295044;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5512371063232422;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.32494354248046875;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7271137237548828;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.39348721504211426;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8092670440673828;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8125321865081787;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.31821346282958984;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.5324788093566895;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5464913845062256;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9942936897277832;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.40378332138061523;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.077199935913086;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.39789867401123047;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8576698303222656;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.7181036472320557;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.21640515327453613;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8130478858947754;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.5825066566467285;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0380408763885498;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8287506103515625;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.35885167121887207;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.42748117446899414;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.9250373840332031;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5495476722717285;0-2;LSB bit-flip
_rtld_local;rtld.c;162;1.0275232791900635;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8932421207427979;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.067627191543579;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.24162602424621582;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5060057640075684;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9489192962646484;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.24367785453796387;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.17537927627563477;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1435041427612305;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7942724227905273;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9757261276245117;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.6944124698638916;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.103062629699707;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.8030683994293213;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7187464237213135;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.4685521125793457;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3775787353515625;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0466649532318115;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0452919006347656;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5610494613647461;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5574209690093994;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9454977512359619;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.0946197509765625;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;1.0022199153900146;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0913259983062744;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.7043094635009766;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6638085842132568;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.1269361972808838;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.2590045928955078;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.8212015628814697;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8191807270050049;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.7745261192321777;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8736567497253418;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8324096202850342;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8930449485778809;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6533398628234863;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0733106136322021;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5072824954986572;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.21610283851623535;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.308516263961792;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.200178861618042;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.4538264274597168;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.971531867980957;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.1086714267730713;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.39880847930908203;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.4783360958099365;0-2;LSB bit-flip
