Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
curr_size;merge.c;62;0.8449420928955078;0-2;LSB bit-flip
left_start;merge.c;64;0.5790636539459229;0-2;LSB bit-flip
L;merge.c;15;0.2191312313079834;0-2;LSB bit-flip
R;merge.c;15;0.755645751953125;0-2;LSB bit-flip
size;merge.c;100;0.7146515846252441;0-2;LSB bit-flip
size;merge.c;100;0.5365614891052246;0-2;LSB bit-flip
size;merge.c;100;0.5401756763458252;0-2;LSB bit-flip
size;merge.c;100;0.8260836601257324;0-2;LSB bit-flip
left_start;merge.c;64;0.6681125164031982;0-2;LSB bit-flip
left_start;merge.c;64;0.2556614875793457;0-2;LSB bit-flip
size;merge.c;100;1.1095423698425293;0-2;LSB bit-flip
left_start;merge.c;64;0.9536757469177246;0-2;LSB bit-flip
data;merge.c;102;0.7902228832244873;0-2;LSB bit-flip
size;merge.c;100;0.2288503646850586;0-2;LSB bit-flip
left_start;merge.c;64;0.4401247501373291;0-2;LSB bit-flip
size;merge.c;100;0.2245616912841797;0-2;LSB bit-flip
arr;merge.c;60;0.40053248405456543;0-2;LSB bit-flip
left_start;merge.c;64;0.7821617126464844;0-2;LSB bit-flip
arr;merge.c;60;0.5002744197845459;0-2;LSB bit-flip
size;merge.c;100;0.4859929084777832;0-2;LSB bit-flip
arr;merge.c;60;1.1554381847381592;0-2;LSB bit-flip
curr_size;merge.c;62;0.21230602264404297;0-2;LSB bit-flip
data;merge.c;102;0.3809359073638916;0-2;LSB bit-flip
curr_size;merge.c;62;0.9610147476196289;0-2;LSB bit-flip
size;merge.c;100;0.888298511505127;0-2;LSB bit-flip
data;merge.c;102;1.1450254917144775;0-2;LSB bit-flip
arr;merge.c;60;0.39858460426330566;0-2;LSB bit-flip
n2;merge.c;12;0.4109683036804199;0-2;LSB bit-flip
left_start;merge.c;64;0.19267606735229492;0-2;LSB bit-flip
left_start;merge.c;64;0.8086886405944824;0-2;LSB bit-flip
size;merge.c;100;0.6065115928649902;0-2;LSB bit-flip
size;merge.c;100;0.703801155090332;0-2;LSB bit-flip
arr;merge.c;60;1.0629801750183105;0-2;LSB bit-flip
data;merge.c;102;0.8389601707458496;0-2;LSB bit-flip
size;merge.c;100;0.9791114330291748;0-2;LSB bit-flip
arr;merge.c;60;0.880460262298584;0-2;LSB bit-flip
size;merge.c;100;0.18118524551391602;0-2;LSB bit-flip
arr;merge.c;60;0.5613484382629395;0-2;LSB bit-flip
arr;merge.c;60;0.6733648777008057;0-2;LSB bit-flip
size;merge.c;100;1.0799891948699951;0-2;LSB bit-flip
size;merge.c;100;0.21596145629882812;0-2;LSB bit-flip
left_start;merge.c;64;0.49941396713256836;0-2;LSB bit-flip
curr_size;merge.c;62;1.1141777038574219;0-2;LSB bit-flip
k;merge.c;10;0.7135975360870361;0-2;LSB bit-flip
size;merge.c;100;0.925347089767456;0-2;LSB bit-flip
arr;merge.c;60;1.0234479904174805;0-2;LSB bit-flip
L;merge.c;15;0.5567400455474854;0-2;LSB bit-flip
arr;merge.c;8;0.48920631408691406;0-2;LSB bit-flip
left_start;merge.c;64;0.9151079654693604;0-2;LSB bit-flip
size;merge.c;100;1.1275081634521484;0-2;LSB bit-flip
left_start;merge.c;64;0.20652008056640625;0-2;LSB bit-flip
data;merge.c;102;1.0718965530395508;0-2;LSB bit-flip
size;merge.c;100;0.6697275638580322;0-2;LSB bit-flip
data;merge.c;102;0.375399112701416;0-2;LSB bit-flip
left_start;merge.c;64;0.6541309356689453;0-2;LSB bit-flip
data;merge.c;102;0.7620694637298584;0-2;LSB bit-flip
curr_size;merge.c;62;0.38283228874206543;0-2;LSB bit-flip
left_start;merge.c;64;0.49690723419189453;0-2;LSB bit-flip
curr_size;merge.c;62;0.3843965530395508;0-2;LSB bit-flip
data;merge.c;102;0.983325719833374;0-2;LSB bit-flip
data;merge.c;102;0.2060995101928711;0-2;LSB bit-flip
arr;merge.c;60;0.5465421676635742;0-2;LSB bit-flip
arr;merge.c;60;1.017120361328125;0-2;LSB bit-flip
arr;merge.c;8;0.8078386783599854;0-2;LSB bit-flip
size;merge.c;100;0.8281044960021973;0-2;LSB bit-flip
arr;merge.c;8;0.8964512348175049;0-2;LSB bit-flip
data;merge.c;102;1.0405597686767578;0-2;LSB bit-flip
arr;merge.c;60;1.023468255996704;0-2;LSB bit-flip
R;merge.c;15;0.43833374977111816;0-2;LSB bit-flip
i;merge.c;10;0.23144125938415527;0-2;LSB bit-flip
curr_size;merge.c;62;1.066554307937622;0-2;LSB bit-flip
curr_size;merge.c;62;0.6416642665863037;0-2;LSB bit-flip
data;merge.c;102;0.3569011688232422;0-2;LSB bit-flip
arr;merge.c;60;0.9550142288208008;0-2;LSB bit-flip
R;merge.c;15;0.6235849857330322;0-2;LSB bit-flip
curr_size;merge.c;62;0.5752303600311279;0-2;LSB bit-flip
curr_size;merge.c;62;0.578007698059082;0-2;LSB bit-flip
left_start;merge.c;64;0.828073263168335;0-2;LSB bit-flip
size;merge.c;100;0.987839937210083;0-2;LSB bit-flip
i;merge.c;10;0.6909642219543457;0-2;LSB bit-flip
data;merge.c;102;0.8263893127441406;0-2;LSB bit-flip
arr;merge.c;60;0.3353707790374756;0-2;LSB bit-flip
data;merge.c;102;0.28450727462768555;0-2;LSB bit-flip
left_start;merge.c;64;0.7778780460357666;0-2;LSB bit-flip
j;merge.c;10;0.5630335807800293;0-2;LSB bit-flip
n2;merge.c;12;0.804771900177002;0-2;LSB bit-flip
data;merge.c;102;1.050001621246338;0-2;LSB bit-flip
arr;merge.c;60;0.45919203758239746;0-2;LSB bit-flip
size;merge.c;100;0.5490896701812744;0-2;LSB bit-flip
size;merge.c;100;0.2662649154663086;0-2;LSB bit-flip
curr_size;merge.c;62;1.0755927562713623;0-2;LSB bit-flip
data;merge.c;102;0.3724963665008545;0-2;LSB bit-flip
left_start;merge.c;64;0.30522775650024414;0-2;LSB bit-flip
curr_size;merge.c;62;0.5231728553771973;0-2;LSB bit-flip
i;merge.c;10;1.1189048290252686;0-2;LSB bit-flip
i;merge.c;10;0.2985715866088867;0-2;LSB bit-flip
curr_size;merge.c;62;0.3439044952392578;0-2;LSB bit-flip
curr_size;merge.c;62;0.6532018184661865;0-2;LSB bit-flip
arr;merge.c;60;0.3199117183685303;0-2;LSB bit-flip
left_start;merge.c;64;0.32785582542419434;0-2;LSB bit-flip
left_start;merge.c;64;0.7721526622772217;0-2;LSB bit-flip
size;merge.c;100;0.3840608596801758;0-2;LSB bit-flip
data;merge.c;102;1.029348611831665;0-2;LSB bit-flip
R;merge.c;15;0.7260618209838867;0-2;LSB bit-flip
arr;merge.c;8;0.7092900276184082;0-2;LSB bit-flip
x;merge.c;6;0.7997355461120605;0-2;LSB bit-flip
size;merge.c;100;0.8039777278900146;0-2;LSB bit-flip
left_start;merge.c;64;0.4215831756591797;0-2;LSB bit-flip
curr_size;merge.c;62;0.6512138843536377;0-2;LSB bit-flip
